date,crypto_total,crypto_pnl_daily,crypto_pnl_cum,crypto_benchmark
2022-01-01,"$100,000.00",$0.00,$0.00,"$100,000.00"
2022-01-02,"$100,000.00",$0.00,$0.00,"$99,283.67"
2022-01-03,"$100,000.00",$0.00,$0.00,"$97,423.41"
2022-01-04,"$100,000.00",$0.00,$0.00,"$96,247.94"
2022-01-05,"$100,000.00",$0.00,$0.00,"$91,364.89"
2022-01-06,"$100,000.00",$0.00,$0.00,"$90,509.15"
2022-01-07,"$100,000.00",$0.00,$0.00,"$87,147.58"
2022-01-08,"$100,000.00",$0.00,$0.00,"$87,516.74"
2022-01-09,"$100,000.00",$0.00,$0.00,"$87,889.29"
2022-01-10,"$100,000.00",$0.00,$0.00,"$87,699.85"
2022-01-11,"$100,000.00",$0.00,$0.00,"$89,617.76"
2022-01-12,"$100,000.00",$0.00,$0.00,"$92,161.96"
2022-01-13,"$100,000.00",$0.00,$0.00,"$89,315.20"
2022-01-14,"$100,000.00",$0.00,$0.00,"$90,380.75"
2022-01-15,"$100,000.00",$0.00,$0.00,"$90,543.69"
2022-01-16,"$100,000.00",$0.00,$0.00,"$90,410.49"
2022-01-17,"$100,000.00",$0.00,$0.00,"$88,600.07"
2022-01-18,"$100,000.00",$0.00,$0.00,"$88,862.37"
2022-01-19,"$100,000.00",$0.00,$0.00,"$87,538.52"
2022-01-20,"$100,000.00",$0.00,$0.00,"$85,307.48"
2022-01-21,"$100,000.00",$0.00,$0.00,"$76,451.57"
2022-01-22,"$100,000.00",$0.00,$0.00,"$73,458.99"
2022-01-23,"$100,000.00",$0.00,$0.00,"$76,073.03"
2022-01-24,"$100,000.00",$0.00,$0.00,"$76,864.71"
2022-01-25,"$100,000.00",$0.00,$0.00,"$77,493.13"
2022-01-26,"$100,000.00",$0.00,$0.00,"$77,279.48"
2022-01-27,"$100,000.00",$0.00,$0.00,"$77,879.46"
2022-01-28,"$100,000.00",$0.00,$0.00,"$79,234.34"
2022-01-29,"$100,000.00",$0.00,$0.00,"$79,976.37"
2022-01-30,"$100,000.00",$0.00,$0.00,"$79,513.81"
2022-01-31,"$100,000.00",$0.00,$0.00,"$80,699.72"
2022-02-01,"$100,000.00",$0.00,$0.00,"$81,245.26"
2022-02-02,"$100,000.00",$0.00,$0.00,"$77,490.99"
2022-02-03,"$100,000.00",$0.00,$0.00,"$77,913.79"
2022-02-04,"$100,000.00",$0.00,$0.00,"$87,027.99"
2022-02-05,"$100,000.00",$0.00,$0.00,"$86,902.78"
2022-02-06,"$100,000.00",$0.00,$0.00,"$88,939.54"
2022-02-07,"$100,000.00",$0.00,$0.00,"$91,933.77"
2022-02-08,"$100,000.00",$0.00,$0.00,"$92,517.08"
2022-02-09,"$100,000.00",$0.00,$0.00,"$92,979.16"
2022-02-10,"$100,000.00",$0.00,$0.00,"$91,356.73"
2022-02-11,"$100,000.00",$0.00,$0.00,"$88,930.12"
2022-02-12,"$100,000.00",$0.00,$0.00,"$88,587.32"
2022-02-13,"$100,000.00",$0.00,$0.00,"$88,488.86"
2022-02-14,"$100,000.00",$0.00,$0.00,"$89,305.44"
