date,equity,cash,positions
2025-12-13,7246.870986,7246.870986,0.0
2025-12-14,7246.870986,7246.870986,0.0
2025-12-15,7246.870986,7246.870986,0.0
2025-12-16,7246.870986,7246.870986,0.0
2025-12-17,7246.870986,7246.870986,0.0
2025-12-18,7246.870986,7246.870986,0.0
2025-12-19,7246.870986,7246.870986,0.0
2025-12-20,7246.870986,7246.870986,0.0
2025-12-21,7246.870986,7246.870986,0.0
2025-12-22,7246.870986,7246.870986,0.0
2025-12-23,7246.870986,7246.870986,0.0
2025-12-24,7246.870986,7246.870986,0.0
2025-12-25,7246.870986,7246.870986,0.0
2025-12-26,7246.870986,7246.870986,0.0
2025-12-27,7246.870986,7246.870986,0.0
2025-12-28,7246.870986,7246.870986,0.0
2025-12-29,7246.870986,7246.870986,0.0
2025-12-30,7246.870986,7246.870986,0.0
2025-12-31,7246.870986,7246.870986,0.0
2026-01-01,7246.870986,7246.870986,0.0
2026-01-02,7246.870986,7246.870986,0.0
2026-01-03,7165.8560395,4165.8560395,3000.0
2026-01-04,7189.215744814981,4165.8560395,3023.3597053149806
2026-01-05,7270.292959008373,4165.8560395,3104.4369195083727
2026-01-06,7304.208695359468,4165.8560395,3138.352655859467
2026-01-07,7212.005845986052,4165.8560395,3046.1498064860516
2026-01-08,7229.902398301076,4165.8560395,3064.046358801075
2026-01-09,7195.317632045852,4165.8560395,3029.461592545852
2026-01-10,7191.5949747217755,4165.8560395,3025.738935221775
2026-01-11,7243.431756346187,4165.8560395,3077.575716846187
2026-01-12,7246.496484929332,4165.8560395,3080.640445429332
