date,us_total,us_pnl_daily,us_pnl_cum,us_benchmark
2022-01-03,"$100,000.00",$0.00,$0.00,"$100,000.00"
2022-01-04,"$100,000.00",$0.00,$0.00,"$99,966.51"
2022-01-05,"$100,000.00",$0.00,$0.00,"$98,046.95"
2022-01-06,"$100,000.00",$0.00,$0.00,"$97,954.85"
2022-01-07,"$100,000.00",$0.00,$0.00,"$97,567.56"
2022-01-08,"$100,000.00",$0.00,$0.00,"$97,567.56"
2022-01-09,"$100,000.00",$0.00,$0.00,"$97,567.56"
2022-01-10,"$100,000.00",$0.00,$0.00,"$97,446.16"
2022-01-11,"$100,000.00",$0.00,$0.00,"$98,333.73"
2022-01-12,"$100,000.00",$0.00,$0.00,"$98,599.57"
2022-01-13,"$100,000.00",$0.00,$0.00,"$97,241.02"
2022-01-14,"$100,000.00",$0.00,$0.00,"$97,280.79"
2022-01-15,"$100,000.00",$0.00,$0.00,"$97,280.79"
2022-01-16,"$100,000.00",$0.00,$0.00,"$97,280.79"
2022-01-17,"$100,000.00",$0.00,$0.00,"$97,280.79"
2022-01-18,"$100,000.00",$0.00,$0.00,"$95,557.98"
2022-01-19,"$100,000.00",$0.00,$0.00,"$94,565.74"
2022-01-20,"$100,000.00",$0.00,$0.00,"$93,519.09"
2022-01-21,"$100,000.00",$0.00,$0.00,"$91,683.26"
2022-01-22,"$100,000.00",$0.00,$0.00,"$91,683.26"
2022-01-23,"$100,000.00",$0.00,$0.00,"$91,683.26"
2022-01-24,"$100,000.00",$0.00,$0.00,"$92,072.60"
2022-01-25,"$100,000.00",$0.00,$0.00,"$90,948.49"
2022-01-26,"$100,000.00",$0.00,$0.00,"$90,720.32"
2022-01-27,"$100,000.00",$0.00,$0.00,"$90,272.35"
2022-01-28,"$100,000.00",$0.00,$0.00,"$92,514.30"
2022-01-29,"$100,000.00",$0.00,$0.00,"$92,514.30"
2022-01-30,"$100,000.00",$0.00,$0.00,"$92,514.30"
2022-01-31,"$100,000.00",$0.00,$0.00,"$94,180.57"
2022-02-01,"$100,000.00",$0.00,$0.00,"$94,816.96"
2022-02-02,"$100,000.00",$0.00,$0.00,"$95,738.00"
2022-02-03,"$100,000.00",$0.00,$0.00,"$93,487.69"
2022-02-04,"$100,000.00",$0.00,$0.00,"$93,927.28"
2022-02-05,"$100,000.00",$0.00,$0.00,"$93,927.28"
2022-02-06,"$100,000.00",$0.00,$0.00,"$93,927.28"
2022-02-07,"$100,000.00",$0.00,$0.00,"$93,625.84"
2022-02-08,"$100,000.00",$0.00,$0.00,"$94,396.20"
2022-02-09,"$100,000.00",$0.00,$0.00,"$95,777.78"
2022-02-10,"$100,000.00",$0.00,$0.00,"$94,057.08"
2022-02-11,"$100,000.00",$0.00,$0.00,"$92,202.39"
2022-02-12,"$100,000.00",$0.00,$0.00,"$92,202.39"
2022-02-13,"$100,000.00",$0.00,$0.00,"$92,202.39"
2022-02-14,"$100,000.00",$0.00,$0.00,"$91,900.94"
2022-02-15,"$100,000.00",$0.00,$0.00,"$93,383.03"
2022-02-16,"$100,000.00",$0.00,$0.00,"$93,487.69"
2022-02-17,"$100,000.00",$0.00,$0.00,"$91,490.66"
2022-02-18,"$100,000.00",$0.00,$0.00,"$90,898.26"
2022-02-19,"$100,000.00",$0.00,$0.00,"$90,898.26"
2022-02-20,"$100,000.00",$0.00,$0.00,"$90,898.26"
2022-02-21,"$100,000.00",$0.00,$0.00,"$90,898.26"
2022-02-22,"$100,000.00",$0.00,$0.00,"$89,922.77"
2022-02-23,"$100,000.00",$0.00,$0.00,"$88,327.66"
2022-02-24,"$100,000.00",$0.00,$0.00,"$89,656.90"
2022-02-25,"$100,000.00",$0.00,$0.00,"$91,635.12"
2022-02-26,"$100,000.00",$0.00,$0.00,"$91,635.12"
2022-02-27,"$100,000.00",$0.00,$0.00,"$91,635.12"
2022-02-28,"$100,000.00",$0.00,$0.00,"$91,400.65"
2022-03-01,"$100,000.00",$0.00,$0.00,"$90,008.59"
2022-03-02,"$100,000.00",$0.00,$0.00,"$91,664.40"
2022-03-03,"$100,000.00",$0.00,$0.00,"$91,208.05"
2022-03-04,"$100,000.00",$0.00,$0.00,"$90,467.02"
